NO,식품명,식품대분류,식품상세분류
394,순댓국,국 및 탕류,육류국.탕
395,육개장,국 및 탕류,육류국.탕
396,사골만두국,국 및 탕류,육류국.탕
397,소고기 무국,국 및 탕류,육류국.탕
398,닭곰탕,국 및 탕류,육류국.탕
399,소고기 들깨 알토란탕,국 및 탕류,육류국.탕
400,<더 이지>속깊은 소고기 무국,국 및 탕류,육류국.탕
401,김치국,국 및 탕류,채소류국.탕
402,맑은감자국,국 및 탕류,채소류국.탕
403,무된장국,국 및 탕류,채소류국.탕
404,미소된장국,국 및 탕류,채소류국.탕
405,시래기된장국,국 및 탕류,채소류국.탕
406,우거지해장국,국 및 탕류,채소류국.탕
407,초당순두부,국 및 탕류,채소류국.탕
408,감자된장국,국 및 탕류,채소류국.탕
409,감잣국,국 및 탕류,채소류국.탕
410,근대된장국,국 및 탕류,채소류국.탕
411,김치콩나물국,국 및 탕류,채소류국.탕
412,김칫국,국 및 탕류,채소류국.탕
413,냉이된장국,국 및 탕류,채소류국.탕
414,무시래기된장국,국 및 탕류,채소류국.탕
415,배추된장국,국 및 탕류,채소류국.탕
416,시금치된장국,국 및 탕류,채소류국.탕
417,쑥된장국,국 및 탕류,채소류국.탕
418,아욱된장국,국 및 탕류,채소류국.탕
419,애호박된장국,국 및 탕류,채소류국.탕
420,얼갈이배춧국,국 및 탕류,채소류국.탕
421,우거지곰탕,국 및 탕류,채소류국.탕
422,우거지된장국,국 및 탕류,채소류국.탕
423,일본된장국,국 및 탕류,채소류국.탕
424,콩나물국,국 및 탕류,채소류국.탕
425,콩나물된장국,국 및 탕류,채소류국.탕
426,토란국,국 및 탕류,채소류국.탕
427,호박잎된장국,국 및 탕류,채소류국.탕
428,홍합 배춧국,국 및 탕류,채소류국.탕
429,토마토 미소된장국,국 및 탕류,채소류국.탕
430,무청시래기국,국 및 탕류,채소류국.탕
431,마라탕,국 및 탕류,탕류
432,<구구스>사천마라탕,국 및 탕류,탕류
433,도토리묵말이,기타,기타
434,도토리묵,기타,기타
435,프렌치 라따뚜이,기타,기타
436,그뤼에르 퐁듀소스,기타,기타
437,치즈크러스트 디핑소스,기타,기타
438,핫소스,기타,기타
439,치즈추가(샌드),기타,기타
440,1회용 갈릭디핑소스,기타,기타
441,1회용 핫소스,기타,기타
442,허니머스타드소스,기타,기타
443,콘버터,기타,기타
444,플로리다랑군(7pcs),기타,기타
445,치포틀소스,기타,기타
446,살사소스,기타,기타
447,까망베르소스,기타,기타
448,머스타드소스,기타,기타
449,쿠키&크림 번버거 + 아메리카노 SET,기타,기타
450,티라미수 번버거 + 아메리카노 SET,기타,기타
451,코코스페셜코코너츠,기타,기타
452,허니땅콩,기타,기타
453,아몬드,기타,기타
454,캐슈넛,기타,기타
455,아이스 바닐라 슈,기타,기타
456,아이스 초코 슈,기타,기타
457,투썸뉴트리션바,기타,기타
458,햄치즈 BOX,기타,기타
459,BLT BOX,기타,기타
460,허니머스타드,기타,기타
461,갈릭 디핑소스,기타,기타
462,요거트 드레싱,기타,기타
463,핫소스,기타,기타
464,밀크폼,기타,기타
465,펄,기타,기타
466,코코넛,기타,기타
467,알로에,기타,기타
468,화이트펄,기타,기타
469,과당시럽,기타,기타
470,망고쥬얼리,기타,기타
471,딸기쥬얼리,기타,기타
472,치즈폼,기타,기타
473,해바라기초코볼,기타,기타
474,체다치즈 딥,기타,기타
475,크림치즈 딥,기타,기타
476,핫살사 치즈 딥,기타,기타
477,핫 토마토 딥,기타,기타
478,퐁듀치즈,기타,기타
479,핫소스,기타,기타
480,페퍼소시지,기타,기타
481,고구마무스 추가 라지,기타,기타
482,고구마무스 추가 점보,기타,기타
483,토핑 치즈 추가 라지,기타,기타
484,토핑 치즈 추가 점보,기타,기타
485,치즈크러스트 추가 라지,기타,기타
486,치즈크러스트 추가 점보,기타,기타
487,골드 추가 라지,기타,기타
488,골드 추가 점보,기타,기타
489,바이트 추가 라지,기타,기타
490,바이트 추가 점보,기타,기타
491,깐풍텐더,기타,기타
492,치즈추가(R),기타,기타
493,고구마 무스(R),기타,기타
494,골드 추가(R),기타,기타
495,고구마무스추가,기타,기타
496,치즈크러스트추가(R),기타,기타
497,치즈크러스트추가(L),기타,기타
498,바이트골드추가,기타,기타
499,흑미도우,기타,기타
500,치즈토핑추가,기타,기타
501,체다엣지추가(R),기타,기타
502,체다엣지추가(L),기타,기타
503,골드엣지추가(R),기타,기타
504,골드엣지추가(L),기타,기타
505,고구마크러스트추가(R),기타,기타
506,고구마크러스트추가(L),기타,기타
507,디럭스 브렉퍼스트,기타,기타
508,매콤김떡만,기타,기타
509,갈릭김떡만,기타,기타
510,스트링치즈 (m),기타,기타
511,스트링치즈 (L),기타,기타
512,떠먹는 떡볶이 도넛,기타,기타
513,바질페스토마요 스프레드,기타,기타
514,상큼발랄 밸런스 박스,기타,기타
515,에너지 밸런스 박스,기타,기타
516,밸런스 박스,기타,기타
517,월남쌈,기타,기타
518,고들빼기,김치류,김치
519,열무얼갈이김치,김치류,김치
520,갓김치,김치류,김치
521,고들빼기김치,김치류,김치
522,깍두기,김치류,김치
523,깻잎김치,김치류,김치
524,나박김치,김치류,김치
525,돌나물물김치,김치류,김치
526,동치미,김치류,김치
527,배추김치,김치류,김치
528,백김치,김치류,김치
529,보쌈김치,김치류,김치
530,부추김치,김치류,김치
531,얼갈이배추김치,김치류,김치
532,열무김치,김치류,김치
533,오이김치,김치류,김치
534,오이소박이,김치류,김치
535,총각김치,김치류,김치
536,파김치,김치류,김치
537,무염 겉절이,김치류,김치
538,저염 겉절이,김치류,김치
539,고구마 김치,김치류,김치
540,배 깍두기,김치류,김치
541,콜라비 깍두기,김치류,김치
542,비타 오이 물김치,김치류,김치
543,무말랭이 김치,김치류,김치
544,"감자, 대지, 생것",농축산물,감자 및 전분류
545,"감자, 대지, 삶은것",농축산물,감자 및 전분류
546,"감자, 대지, 찐것",농축산물,감자 및 전분류
547,"감자, 대지, 구운것",농축산물,감자 및 전분류
548,"감자, 수미, 생것",농축산물,감자 및 전분류
549,"감자, 수미, 삶은것",농축산물,감자 및 전분류
550,"감자, 수미, 찐것",농축산물,감자 및 전분류
551,"감자, 수미, 구운것",농축산물,감자 및 전분류
552,"감자, 로즈밸리, 생것",농축산물,감자 및 전분류
553,"감자, 로즈밸리, 삶은것",농축산물,감자 및 전분류
554,"감자, 자색, 생것",농축산물,감자 및 전분류
555,"감자, 자색, 찐것",농축산물,감자 및 전분류
556,"감자, 자색, 보라밸리, 생것",농축산물,감자 및 전분류
557,"감자, 자색, 보라밸리, 삶은것",농축산물,감자 및 전분류
558,"감자, 자심, 생것",농축산물,감자 및 전분류
559,"감자, 부침가루",농축산물,감자 및 전분류
560,"감자 과자, 감자칩, 구운것",농축산물,감자 및 전분류
561,"감자 과자, 감자칩, 튀긴것",농축산물,감자 및 전분류
562,"감자 튀김, 튀긴것",농축산물,감자 및 전분류
563,"감자 튀김, 해시브라운, 튀긴것",농축산물,감자 및 전분류
564,"감자, 으깬감자",농축산물,감자 및 전분류
565,감자 샐러드,농축산물,감자 및 전분류
566,"고구마, 생것",농축산물,감자 및 전분류
567,"고구마, 분질(밤) 고구마, 생것",농축산물,감자 및 전분류
568,"고구마, 점질(호박) 고구마, 생것",농축산물,감자 및 전분류
569,"고구마, 베니하루까, 생것",농축산물,감자 및 전분류
570,"고구마, 신율미, 생것",농축산물,감자 및 전분류
571,"고구마, 신자미, 생것",농축산물,감자 및 전분류
572,"고구마, 연황미, 생것",농축산물,감자 및 전분류
573,"고구마, 주황미, 생것",농축산물,감자 및 전분류
574,"고구마, 진홍미, 생것",농축산물,감자 및 전분류
575,"고구마, 찐것",농축산물,감자 및 전분류
576,"고구마, 분질(밤) 고구마, 찐것",농축산물,감자 및 전분류
577,"고구마, 점질(호박) 고구마, 찐것",농축산물,감자 및 전분류
578,"고구마, 구운것",농축산물,감자 및 전분류
579,"고구마, 분질(밤) 고구마, 구운것",농축산물,감자 및 전분류
580,"고구마, 점질(호박) 고구마, 구운것",농축산물,감자 및 전분류
581,"고구마, 말린것",농축산물,감자 및 전분류
582,"당면, 고구마, 말린것",농축산물,감자 및 전분류
583,"당면, 고구마, 삶은것",농축산물,감자 및 전분류
584,"당면, 고구마, 감자, 말린것",농축산물,감자 및 전분류
585,"곤약(구약나물), 가루",농축산물,감자 및 전분류
586,"곤약(구약나물), 국수형, 생것",농축산물,감자 및 전분류
587,"곤약(구약나물), 판형, 생것",농축산물,감자 및 전분류
