NO,식품명,식품대분류,식품상세분류
7264,클래식치즈피자,빵류,피자류
7265,햄앤체다피자,빵류,피자류
7266,고르곤졸라피자,빵류,피자류
7267,페파로니,빵류,피자류
7268,페파로니매니아피자,빵류,피자류
7269,청양페파로니피자,빵류,피자류
7270,하와이안피자,빵류,피자류
7271,슈퍼콤비네이션피자,빵류,피자류
7272,고구마피자,빵류,피자류
7273,베이컨포테이토피자,빵류,피자류
7274,불고기피자,빵류,피자류
7275,부라타치즈피자,빵류,피자류
7276,나폴리슈림프피자,빵류,피자류
7277,디아볼라피자,빵류,피자류
7278,더블치즈(BL),빵류,피자류
7279,더블치즈(L),빵류,피자류
7280,더블치즈(M),빵류,피자류
7281,페퍼로니(BL),빵류,피자류
7282,페퍼로니(L),빵류,피자류
7283,페퍼로니(M),빵류,피자류
7284,하와이안피자(BL),빵류,피자류
7285,하와이안피자(L),빵류,피자류
7286,하와이안피자(M),빵류,피자류
7287,더블치즈베이컨(BL),빵류,피자류
7288,더블치즈베이컨(L),빵류,피자류
7289,더블치즈베이컨(M),빵류,피자류
7290,대만감자(BL),빵류,피자류
7291,대만감자(L),빵류,피자류
7292,대만감자(M),빵류,피자류
7293,불고기(BL),빵류,피자류
7294,불고기(L),빵류,피자류
7295,불고기(M),빵류,피자류
7296,슈퍼슈프림(BL),빵류,피자류
7297,슈퍼슈프림(L),빵류,피자류
7298,슈퍼슈프림(M),빵류,피자류
7299,포테이토(BL),빵류,피자류
7300,포테이토(L),빵류,피자류
7301,포테이토(M),빵류,피자류
7302,헤븐스페셜(BL),빵류,피자류
7303,헤븐스페셜(L),빵류,피자류
7304,헤븐스페셜(M),빵류,피자류
7305,고구마스위트(BL),빵류,피자류
7306,고구마스위트(L),빵류,피자류
7307,고구마스위트(M),빵류,피자류
7308,핫앤스파이시(BL),빵류,피자류
7309,핫앤스파이시(L),빵류,피자류
7310,핫앤스파이시(M),빵류,피자류
7311,1988(BL),빵류,피자류
7312,1988(L),빵류,피자류
7313,1988(M),빵류,피자류
7314,더블포테이토(BL),빵류,피자류
7315,더블포테이토(L),빵류,피자류
7316,더블포테이토(M),빵류,피자류
7317,쉬림프디럭스(BL),빵류,피자류
7318,쉬림프디럭스(L),빵류,피자류
7319,쉬림프디럭스(M),빵류,피자류
7320,치킨바비큐(BL),빵류,피자류
7321,치킨바비큐(L),빵류,피자류
7322,치킨바비큐(M),빵류,피자류
7323,그릴드포크벨리(BL),빵류,피자류
7324,그릴드포크벨리(L),빵류,피자류
7325,그릴드포크벨리(M),빵류,피자류
7326,눈꽃치즈스테이크(BL),빵류,피자류
7327,눈꽃치즈스테이크(L),빵류,피자류
7328,눈꽃치즈스테이크(M),빵류,피자류
7329,눈꽃치즈멕시카나(BL),빵류,피자류
7330,눈꽃치즈멕시카나(L),빵류,피자류
7331,눈꽃치즈멕시카나(M),빵류,피자류
7332,미트킹덤(BL),빵류,피자류
7333,미트킹덤(L),빵류,피자류
7334,미트킹덤(M),빵류,피자류
7335,사대천왕(BL),빵류,피자류
7336,사대천왕(L),빵류,피자류
7337,황제천왕(BL),빵류,피자류
7338,황제천왕(L),빵류,피자류
7339,프랑크필레(BL),빵류,피자류
7340,프랑크필레(L),빵류,피자류
7341,프랑크필레(M),빵류,피자류
7342,아메리칸스페셜(BL),빵류,피자류
7343,아메리칸스페셜(L),빵류,피자류
7344,아메리칸스페셜(M),빵류,피자류
7345,레드핫치킨(BL),빵류,피자류
7346,레드핫치킨(L),빵류,피자류
7347,레드핫치킨(M),빵류,피자류
7348,고구마 샐러드,빵류,피자류
7349,슈퍼콤보,빵류,피자류
7350,청포묵무침,생채및 무침류,기타 생채.무침류
7351,탕평채,생채및 무침류,기타 생채.무침류
7352,닭고기냉채,생채및 무침류,기타 생채.무침류
7353,도토리묵 무침,생채및 무침류,기타 생채.무침류
7354,양장피,생채및 무침류,기타 생채.무침류
7355,노각무침,생채및 무침류,나물.채소류무침
7356,단무지무침,생채및 무침류,나물.채소류무침
7357,달래나물무침,생채및 무침류,나물.채소류무침
7358,더덕무침,생채및 무침류,나물.채소류무침
7359,쑥갓나물무침,생채및 무침류,나물.채소류무침
7360,가죽나물무침,생채및 무침류,나물.채소류무침
7361,유채나물무침,생채및 무침류,나물.채소류무침
7362,참나물무침,생채및 무침류,나물.채소류무침
7363,취나물된장무침,생채및 무침류,나물.채소류무침
7364,콩나물고춧가루무침,생채및 무침류,나물.채소류무침
7365,콩나물무침,생채및 무침류,나물.채소류무침
7366,느타리버섯무침,생채및 무침류,나물.채소류무침
7367,달래무침,생채및 무침류,나물.채소류무침
7368,도라지생채,생채및 무침류,나물.채소류무침
7369,도라지오이생채,생채및 무침류,나물.채소류무침
7370,돌나물무침,생채및 무침류,나물.채소류무침
7371,두릅초고추장무침,생채및 무침류,나물.채소류무침
7372,마늘쫑무침,생채및 무침류,나물.채소류무침
7373,무말랭이무침,생채및 무침류,나물.채소류무침
7374,무생채,생채및 무침류,나물.채소류무침
7375,미나리무침,생채및 무침류,나물.채소류무침
7376,민들레잎무침,생채및 무침류,나물.채소류무침
7377,배추겉절이,생채및 무침류,나물.채소류무침
7378,부추무침,생채및 무침류,나물.채소류무침
7379,상추겉절이,생채및 무침류,나물.채소류무침
7380,양파부추무침,생채및 무침류,나물.채소류무침
7381,열무겉절이,생채및 무침류,나물.채소류무침
7382,오이부추무침,생채및 무침류,나물.채소류무침
7383,오이생채,생채및 무침류,나물.채소류무침
7384,오이지무침,생채및 무침류,나물.채소류무침
7385,치커리겉절이,생채및 무침류,나물.채소류무침
7386,파무침,생채및 무침류,나물.채소류무침
7387,풋고추된장무침,생채및 무침류,나물.채소류무침
7388,풋마늘무침,생채및 무침류,나물.채소류무침
7389,호박오가리나물무침,생채및 무침류,나물.채소류무침
7390,유부 우엉 잡채,생채및 무침류,나물.채소류무침
7391,삼색나물 & 토마토양념장,생채및 무침류,나물.채소류무침
7392,매운 락교무침,생채및 무침류,나물.채소류무침
7393,고구마순나물,생채및 무침류,나물.채소류무침
7394,비름나물 된장무침,생채및 무침류,나물.채소류무침
7395,아욱 된장무침,생채및 무침류,나물.채소류무침
7396,톳나물 두부무침,생채및 무침류,나물.채소류무침
7397,퀴노아 치킨 샐러드,생채및 무침류,샐러드
7398,프레시 코울슬로,생채및 무침류,샐러드
7399,프레시 콘샐러드,생채및 무침류,샐러드
7400,콘샐러드,생채및 무침류,샐러드
7401,코울슬로,생채및 무침류,샐러드
7402,홈샐바,생채및 무침류,샐러드
7403,홈샐바세트,생채및 무침류,샐러드
7404,케이준치킨샐러드,생채및 무침류,샐러드
7405,홈샐러드(하절기),생채및 무침류,샐러드
7406,홈샐러드(동절기),생채및 무침류,샐러드
7407,4구 샐러드,생채및 무침류,샐러드
7408,콘샐러드,생채및 무침류,샐러드
7409,단호박+고구마샐러드,생채및 무침류,샐러드
7410,후무스&베지스틱,생채및 무침류,샐러드
7411,쉬림프 그릭 샐러드,생채및 무침류,샐러드
7412,쉬림프 콥 샐러드,생채및 무침류,샐러드
7413,아보카도 콥 샐러드,생채및 무침류,샐러드
7414,카프레제 샐러드,생채및 무침류,샐러드
7415,허브치킨 가든샐러드,생채및 무침류,샐러드
7416,그릴드치킨 시저샐러드,생채및 무침류,샐러드
7417,건강한컵 리프레쉬,생채및 무침류,샐러드
7418,사이드 샐러드,생채및 무침류,샐러드
7419,토마토 모짜렐라,생채및 무침류,샐러드
7420,스트로베리 시트론 샐러드,생채및 무침류,샐러드
7421,레몬치킨클럽,생채및 무침류,샐러드
7422,카프레제 발사믹 샐러드,생채및 무침류,샐러드
7423,리코타치즈올리브 샐러드,생채및 무침류,샐러드
7424,치킨듬뿍 보틀샐러드,생채및 무침류,샐러드
7425,동글동글 보틀 샐러드,생채및 무침류,샐러드
7426,나폴리샐러드,생채및 무침류,샐러드
7427,파파 가든 샐러드,생채및 무침류,샐러드
7428,콘샐러드,생채및 무침류,샐러드
7429,로스트 비프 샐러드 밀 박스,생채및 무침류,샐러드
7430,로스트 치킨 샐러드 밀 박스,생채및 무침류,샐러드
7431,베이컨 포테이토 샐러드 밀 박스,생채및 무침류,샐러드
7432,브로콜리 에그 샐러드 밀 박스,생채및 무침류,샐러드
7433,쉬림프 코코넛 샐러드 밀 박스,생채및 무침류,샐러드
7434,콥 & 요거트 샐러드,생채및 무침류,샐러드
7435,단백질 듬뿍 로스트 치킨 샐러드 Mini,생채및 무침류,샐러드
7436,오리지널 시저 샐러드,생채및 무침류,샐러드
7437,오리지널 시저 샐러드 Mini,생채및 무침류,샐러드
7438,케이준치킨샐러드,생채및 무침류,샐러드
7439,과일컵샐러드,생채및 무침류,샐러드
7440,쉬림프콥샐러드,생채및 무침류,샐러드
7441,부드러운 마요 에그 샐러드,생채및 무침류,샐러드
7442,담백한 옥수수 감자 샐러드,생채및 무침류,샐러드
7443,베리&리코타치즈샐러드(M),생채및 무침류,샐러드
7444,코코넛 쉬림프 샐러드,생채및 무침류,샐러드
7445,클래식 시저 샐러드,생채및 무침류,샐러드
7446,코울슬로,생채및 무침류,샐러드
7447,콘샐러드,생채및 무침류,샐러드
7448,코울슬로,생채및 무침류,샐러드
7449,콘샐러드,생채및 무침류,샐러드
7450,베이컨 크랜베리치킨 샐러드,생채및 무침류,샐러드
7451,단호박 리코타 과일 샐러드,생채및 무침류,샐러드
7452,치킨시저샐러드,생채및 무침류,샐러드
7453,흔들어먹는 쉑쉑 타코 샐러드,생채및 무침류,샐러드
7454,흔들어먹는 쉑쉑 롤치즈 샐러드,생채및 무침류,샐러드
7455,리코타 & 상큼 과일 샐러드,생채및 무침류,샐러드
7456,치킨 텐더 샐러드,생채및 무침류,샐러드
7457,상큼과일치킨샐러드,생채및 무침류,샐러드
7458,콥 샐러드,생채및 무침류,샐러드
7459,하루한컵 비타민,생채및 무침류,샐러드
7460,감자샐러드,생채및 무침류,샐러드
7461,과일샐러드,생채및 무침류,샐러드
7462,단호박샐러드,생채및 무침류,샐러드
7463,닭가슴살샐러드,생채및 무침류,샐러드
7464,새싹채소샐러드,생채및 무침류,샐러드
7465,양배추샐러드,생채및 무침류,샐러드
7466,양상추샐러드,생채및 무침류,샐러드
7467,옥수수샐러드,생채및 무침류,샐러드
7468,참치샐러드,생채및 무침류,샐러드
7469,채소샐러드,생채및 무침류,샐러드
7470,완두콩과 당근을 넣은 감자요거트샐러드,생채및 무침류,샐러드
7471,마늘칩 감자샐러드,생채및 무침류,샐러드
7472,단호박견과류샐러드,생채및 무침류,샐러드
7473,치즈두부샐러드,생채및 무침류,샐러드
7474,코울슬로샐러드,생채및 무침류,샐러드
7475,연근샐러드 & 흑임자소스,생채및 무침류,샐러드
7476,이탈리안샐러드,생채및 무침류,샐러드
7477,치킨랜치샐러드,생채및 무침류,샐러드
7478,콘 샐러드,생채및 무침류,샐러드
7479,해파리냉채,생채및 무침류,어패류무침
7480,골뱅이무침,생채및 무침류,어패류무침
7481,밴댕이무침,생채및 무침류,어패류무침
7482,서대회무침,생채및 무침류,어패류무침
7483,쥐치채,생채및 무침류,어패류무침
7484,홍어무침,생채및 무침류,어패류무침
7485,톳나물무침,생채및 무침류,어패류무침
7486,가오리회무침,생채및 무침류,어패류무침
7487,골뱅이국수무침,생채및 무침류,어패류무침
7488,굴무생채,생채및 무침류,어패류무침
7489,굴무침,생채및 무침류,어패류무침
7490,김무침,생채및 무침류,어패류무침
7491,낙지무침,생채및 무침류,어패류무침
7492,다시마무침,생채및 무침류,어패류무침
7493,미역초무침,생채및 무침류,어패류무침
7494,북어채무침,생채및 무침류,어패류무침
7495,오징어무침,생채및 무침류,어패류무침
7496,오징어물회,생채및 무침류,어패류무침
7497,오징어채무침,생채및 무침류,어패류무침
7498,오징어채소무침,생채및 무침류,어패류무침
7499,파래무침,생채및 무침류,어패류무침
7500,피조개무침,생채및 무침류,어패류무침
7501,해초무침,생채및 무침류,어패류무침
7502,회무침,생채및 무침류,어패류무침
7503,가시발새우,수산물,갑각류
7504,가재,수산물,갑각류
7505,각시흰새우,수산물,갑각류
7506,갯가재,수산물,갑각류
7507,갯가재,수산물,갑각류
7508,갯가재,수산물,갑각류
7509,거북손,수산물,갑각류
7510,긴뿔천길새우,수산물,갑각류
7511,깨다시꽃게,수산물,갑각류
7512,깨다시꽃게,수산물,갑각류
7513,꽃게,수산물,갑각류
7514,꽃게,수산물,갑각류
7515,꽃게,수산물,갑각류
7516,꽃게,수산물,갑각류
7517,꽃게-내장,수산물,갑각류
7518,꽃게-내장,수산물,갑각류
7519,꽃게-알,수산물,갑각류
7520,꽃새우,수산물,갑각류
7521,남방도화새우,수산물,갑각류
7522,닭게,수산물,갑각류
7523,닭새우,수산물,갑각류
7524,닭새우,수산물,갑각류
7525,닭새우,수산물,갑각류
7526,닭새우,수산물,갑각류
7527,대게,수산물,갑각류
7528,대게,수산물,갑각류
7529,대하,수산물,갑각류
7530,대하,수산물,갑각류
7531,대하,수산물,갑각류
7532,대하,수산물,갑각류
7533,동남참게,수산물,갑각류
7534,물렁가시붉은새우,수산물,갑각류
7535,물렁가시붉은새우,수산물,갑각류
7536,민꽃게,수산물,갑각류
7537,바닷가재,수산물,갑각류
7538,밤송이게,수산물,갑각류
7539,보리새우,수산물,갑각류
7540,보리새우,수산물,갑각류
7541,보리새우,수산물,갑각류
7542,보리새우,수산물,갑각류
7543,부채새우,수산물,갑각류
7544,부채새우,수산물,갑각류
7545,부채새우,수산물,갑각류
7546,부채새우,수산물,갑각류
7547,북쪽분홍새우,수산물,갑각류
7548,붉은대게,수산물,갑각류
7549,붉은대게,수산물,갑각류
7550,붉은대게-수컷-다리,수산물,갑각류
7551,붉은대게-수컷-몸통,수산물,갑각류
7552,붉은대게-알,수산물,갑각류
7553,붉은대게-암컷-다리,수산물,갑각류
7554,붉은대게-암컷-몸통,수산물,갑각류
7555,쏙,수산물,갑각류
7556,쏙,수산물,갑각류
7557,쏙,수산물,갑각류
7558,쏙,수산물,갑각류
7559,왕게,수산물,갑각류
7560,젓새우,수산물,갑각류
7561,조개삿갓,수산물,갑각류
7562,주름송편게,수산물,갑각류
7563,주름송편게,수산물,갑각류
7564,중하,수산물,갑각류
7565,진흙새우,수산물,갑각류
7566,징거미새우,수산물,갑각류
7567,참게,수산물,갑각류
7568,참게,수산물,갑각류
7569,털게,수산물,갑각류
7570,펄닭새우,수산물,갑각류
7571,펄닭새우,수산물,갑각류
7572,홍다리얼룩새우,수산물,갑각류
7573,흰다리새우,수산물,갑각류
7574,흰다리새우,수산물,갑각류
7575,흰다리새우,수산물,갑각류
7576,철모새우,수산물,갑각류
7577,개불,수산물,기타
7578,개불,수산물,기타
7579,개불,수산물,기타
7580,갯개미자리,수산물,기타
7581,갯질경이,수산물,기타
7582,거북등안장멍게,수산물,기타
7583,군소,수산물,기타
7584,군소,수산물,기타
7585,나문재,수산물,기타
7586,남방큰돌고래,수산물,기타
7587,남방큰돌고래-보통육,수산물,기타
7588,남방큰돌고래-지방,수산물,기타
7589,노무라입깃해파리,수산물,기타
7590,말똥성게,수산물,기타
7591,말미잘,수산물,기타
7592,말미잘,수산물,기타
7593,멍게,수산물,기타
7594,멍게,수산물,기타
7595,멍게,수산물,기타
7596,멍게,수산물,기타
7597,미더덕,수산물,기타
7598,미더덕,수산물,기타
7599,미더덕,수산물,기타
7600,미더덕-껍질,수산물,기타
7601,밍크고래-꼬리,수산물,기타
7602,밍크고래-뱃살,수산물,기타
7603,밍크고래-보통육,수산물,기타
7604,밍크고래-콩팥,수산물,기타
7605,밍크고래-혀,수산물,기타
7606,보라성게,수산물,기타
7607,보라성게,수산물,기타
7608,보라성게-알,수산물,기타
7609,보라성게-알,수산물,기타
7610,붉은멍게,수산물,기타
7611,붉은멍게,수산물,기타
7612,상괭이,수산물,기타
7613,쇠돌고래,수산물,기타
7614,자라-국내산,수산물,기타
7615,자라-수입산,수산물,기타
7616,지채,수산물,기타
7617,참돌고래,수산물,기타
7618,칠면초,수산물,기타
7619,크릴,수산물,기타
7620,퉁퉁마디,수산물,기타
7621,풍선군소,수산물,기타
7622,해마,수산물,기타
7623,해삼,수산물,기타
7624,해삼,수산물,기타
7625,해삼-내장,수산물,기타
7626,해삼-몸통,수산물,기타
7627,혹부리고래,수산물,기타
7628,홍해삼-창자,수산물,기타
7629,황소개구리-다리살,수산물,기타
7630,멍게(우렁쉥이)-국내산,수산물,기타
7631,멍게(우렁쉥이)-내장,수산물,기타
7632,멍게(우렁쉥이)-수입산,수산물,기타
7633,멍게(우렁쉥이)-수입산,수산물,기타
7634,멍게(우렁쉥이)-육질부,수산물,기타
7635,오만둥이,수산물,기타
7636,오만둥이,수산물,기타
7637,청해삼,수산물,기타
7638,갈고리흰오징어,수산물,두족류
7639,갈고리흰오징어,수산물,두족류
7640,갈고리흰오징어-근육,수산물,두족류
7641,낙지,수산물,두족류
7642,낙지,수산물,두족류
7643,낙지,수산물,두족류
7644,낙지,수산물,두족류
7645,낙지-내장,수산물,두족류
7646,낙지-알,수산물,두족류
7647,대문어,수산물,두족류
7648,대문어,수산물,두족류
7649,대문어,수산물,두족류
7650,대문어-내장,수산물,두족류
7651,대문어-몸통,수산물,두족류
7652,매오징어,수산물,두족류
7653,빨강오징어,수산물,두족류
7654,빨강오징어,수산물,두족류
7655,살오징어,수산물,두족류
7656,살오징어,수산물,두족류
7657,살오징어,수산물,두족류
7658,살오징어,수산물,두족류
7659,살오징어-수컷,수산물,두족류
7660,살오징어-수컷,수산물,두족류
7661,살오징어-수컷,수산물,두족류
7662,살오징어-수컷,수산물,두족류
7663,살오징어-수컷,수산물,두족류
7664,살오징어-수컷,수산물,두족류
7665,살오징어-수컷,수산물,두족류
7666,살오징어-수컷,수산물,두족류
7667,살오징어-수컷,수산물,두족류
7668,살오징어-암컷,수산물,두족류
7669,살오징어-암컷,수산물,두족류
7670,살오징어-암컷,수산물,두족류
7671,살오징어-암컷,수산물,두족류
7672,살오징어-암컷,수산물,두족류
7673,살오징어-암컷,수산물,두족류
7674,살오징어-암컷,수산물,두족류
7675,살오징어-암컷,수산물,두족류
7676,살오징어-암컷,수산물,두족류
7677,쇠갑오징어,수산물,두족류
7678,주꾸미,수산물,두족류
7679,주꾸미,수산물,두족류
7680,주꾸미-내장,수산물,두족류
7681,주꾸미-혼합,수산물,두족류
7682,참문어-내장,수산물,두족류
7683,참문어-다리,수산물,두족류
7684,참문어-몸통,수산물,두족류
7685,창꼴뚜기,수산물,두족류
7686,팔완향오징어,수산물,두족류
7687,살오징어-간,수산물,두족류
7688,살오징어-간,수산물,두족류
7689,참갑오징어,수산물,두족류
7690,참갑오징어,수산물,두족류
7691,참갑오징어,수산물,두족류
7692,참갑오징어,수산물,두족류
7693,참꼴뚜기,수산물,두족류
7694,참꼴뚜기,수산물,두족류
7695,참문어,수산물,두족류
7696,참문어,수산물,두족류
7697,참문어,수산물,두족류
7698,화살꼴뚜기,수산물,두족류
7699,화살꼴뚜기,수산물,두족류
7700,가다랑어-레토르트식품(기름담금),수산물,수산가공품
7701,가다랑어-레토르트식품(조미),수산물,수산가공품
7702,가다랑어-통조림(기름담금),수산물,수산가공품
7703,가다랑어-포,수산물,수산가공품
7704,갈치-속젓갈,수산물,수산가공품
7705,갈치-얼간품,수산물,수산가공품
7706,갈치-젓갈,수산물,수산가공품
7707,개량조개-소건품,수산물,수산가공품
7708,고등어-염건품,수산물,수산가공품
7709,고등어-염장품,수산물,수산가공품
7710,고등어-통조림(보일드),수산물,수산가공품
7711,고등어-통조림(조미),수산물,수산가공품
7712,구멍갈파래-소건품,수산물,수산가공품
7713,기름가자미-소건품,수산물,수산가공품
7714,까나리-액젓,수산물,수산가공품
7715,꽁치-동건품,수산물,수산가공품
7716,꽁치-동건품,수산물,수산가공품
7717,꽁치-통조림(보일드),수산물,수산가공품
7718,꽁치-통조림(조미),수산물,수산가공품
7719,꽃새우-자건품,수산물,수산가공품
7720,날개다랑어-통조림(기름담금),수산물,수산가공품
7721,눈강달이-젓갈,수산물,수산가공품
7722,다시마-소건품,수산물,수산가공품
7723,다시마-소건품,수산물,수산가공품
7724,대게-자건품,수산물,수산가공품
7725,대구-소건품,수산물,수산가공품
7726,대구-소건품,수산물,수산가공품
7727,대구-소건품,수산물,수산가공품
7728,대구-조미건품(포),수산물,수산가공품
7729,대문어-소건품,수산물,수산가공품
7730,대황-소건품,수산물,수산가공품
7731,돌가자미-소건품,수산물,수산가공품
7732,둥근돌김-소건품,수산물,수산가공품
7733,뜸부기-소건품,수산물,수산가공품
7734,말쥐치-조미건품,수산물,수산가공품
7735,매생이-소건품,수산물,수산가공품
7736,멸치-소건품-대멸,수산물,수산가공품
7737,멸치-소건품-소멸,수산물,수산가공품
7738,멸치-소건품-자멸,수산물,수산가공품
7739,멸치-소건품-중멸,수산물,수산가공품
7740,멸치-액젓,수산물,수산가공품
7741,멸치-액젓,수산물,수산가공품
7742,멸치-자건품-대멸,수산물,수산가공품
7743,멸치-자건품-대멸,수산물,수산가공품
7744,멸치-자건품-대멸,수산물,수산가공품
7745,멸치-자건품-대멸,수산물,수산가공품
7746,멸치-자건품-세멸,수산물,수산가공품
7747,멸치-자건품-소멸,수산물,수산가공품
7748,멸치-자건품-중멸,수산물,수산가공품
7749,멸치-자건품-중멸,수산물,수산가공품
7750,멸치-자건품-혼합,수산물,수산가공품
7751,멸치-젓갈,수산물,수산가공품
7752,멸치-젓갈,수산물,수산가공품
7753,명태-동건품(포),수산물,수산가공품
7754,명태-명란젓,수산물,수산가공품
7755,명태-명란젓,수산물,수산가공품
7756,명태-소건품,수산물,수산가공품
7757,명태-소건품(노가리),수산물,수산가공품
7758,명태-소건품(코다리),수산물,수산가공품
7759,명태-조미건품(포),수산물,수산가공품
7760,명태-조미건품(포),수산물,수산가공품
7761,명태-창란젓,수산물,수산가공품
7762,명태-창란젓,수산물,수산가공품
7763,명태-포(먹태),수산물,수산가공품
7764,명태-포(북어),수산물,수산가공품
7765,모무늬돌김-소건품,수산물,수산가공품
7766,모자반-염장품,수산물,수산가공품
7767,미역-소건품,수산물,수산가공품
7768,미역-소건품,수산물,수산가공품
7769,미역-염장품(데침),수산물,수산가공품
7770,민어-조미건품,수산물,수산가공품
7771,밀복-조미건품(포),수산물,수산가공품
7772,바지락-소건품,수산물,수산가공품
7773,바지락-자숙품,수산물,수산가공품
7774,바지락-젓갈,수산물,수산가공품
7775,방사무늬김-소건품,수산물,수산가공품
7776,밴댕이-자건품,수산물,수산가공품
7777,밴댕이-자건품,수산물,수산가공품
7778,밴댕이-젓갈,수산물,수산가공품
7779,뱀장어-조미-구운치,수산물,수산가공품
7780,뱅어-소건품,수산물,수산가공품
7781,뱅어-조미건품(포),수산물,수산가공품
7782,북방전복-자숙품,수산물,수산가공품
7783,불등풀가사리-소건품,수산물,수산가공품
7784,살오징어-소건품,수산물,수산가공품
7785,살오징어-소건품,수산물,수산가공품
7786,살오징어-소건품,수산물,수산가공품
7787,살오징어-젓갈,수산물,수산가공품
7788,살오징어-조미훈제품,수산물,수산가공품
7789,석묵-소건품,수산물,수산가공품
7790,쇠미역-소건품,수산물,수산가공품
7791,아귀-조미건품(포),수산물,수산가공품
7792,양미리-반건품,수산물,수산가공품
7793,연어-통조림(기름담금),수산물,수산가공품
7794,연어-통조림(조미),수산물,수산가공품
7795,연어-훈제품,수산물,수산가공품
7796,옥돔-반건품,수산물,수산가공품
7797,옥돔-염장품,수산물,수산가공품
7798,우뭇가사리-우무,수산물,수산가공품
7799,우뭇가사리-한천,수산물,수산가공품
7800,잇바디돌김-소건품,수산물,수산가공품
7801,자리돔-젓갈,수산물,수산가공품
7802,전갱이-염건품,수산물,수산가공품
7803,전어-젓갈,수산물,수산가공품
7804,중하-자건품,수산물,수산가공품
7805,중하-조미건품,수산물,수산가공품
7806,쥐치-조미건품(포),수산물,수산가공품
7807,진주담치-소건품,수산물,수산가공품
7808,참가자미-식해,수산물,수산가공품
7809,참굴-젓갈,수산물,수산가공품
7810,참김-소건품,수산물,수산가공품
7811,참김-소건품,수산물,수산가공품
7812,참김-조미건품,수산물,수산가공품
7813,참문어-소건품,수산물,수산가공품
7814,참서대-염건품,수산물,수산가공품
7815,참조기-염건품,수산물,수산가공품
7816,참조기-염건품,수산물,수산가공품
7817,참조기-염건품,수산물,수산가공품
7818,참조기-젓갈,수산물,수산가공품
7819,참홑파래-소건품,수산물,수산가공품
7820,창자파래-소건품,수산물,수산가공품
7821,청각-소건품,수산물,수산가공품
7822,청각-소건품,수산물,수산가공품
7823,청어-동건품,수산물,수산가공품
7824,크릴-페이스트,수산물,수산가공품
7825,톳-자건품,수산물,수산가공품
7826,톳-자건품,수산물,수산가공품
7827,해삼-창자젓,수산물,수산가공품
7828,해파리-염장품,수산물,수산가공품
7829,황다랑어-통조림(기름담금),수산물,수산가공품
7830,가시파래-소건품,수산물,수산가공품
7831,보라성게-알젓,수산물,수산가공품
7832,새우젓(새우류)-젓갈,수산물,수산가공품
7833,연어-수입산 통조림(조미),수산물,수산가공품
7834,참갑오징어-소건품,수산물,수산가공품
7835,참꼴뚜기-자건품,수산물,수산가공품
7836,참꼴뚜기-자건품,수산물,수산가공품
7837,참꼴뚜기-젓갈,수산물,수산가공품
7838,해삼-소건품,수산물,수산가공품
7839,황석어(강달이류)-젓갈,수산물,수산가공품
7840,젓새우-백하젓,수산물,수산가공품
7841,가다랑어,수산물,어류
7842,가다랑어,수산물,어류
7843,가다랑어,수산물,어류
7844,가다랑어,수산물,어류
7845,가다랑어-간,수산물,어류
7846,가다랑어-내장,수산물,어류
7847,가다랑어-보통육,수산물,어류
7848,가다랑어-보통육,수산물,어류
7849,가다랑어-알,수산물,어류
7850,가다랑어-혈합육,수산물,어류
7851,가다랑어-혈합육,수산물,어류
7852,가다랑어-혈합육,수산물,어류
7853,가라지,수산물,어류
7854,가래상어,수산물,어류
7855,가물치,수산물,어류
7856,가물치,수산물,어류
7857,가물치,수산물,어류
7858,가물치,수산물,어류
7859,가숭어,수산물,어류
7860,가시망둑,수산물,어류
7861,가시베도라치,수산물,어류
7862,가시베도라치,수산물,어류
7863,각시가자미,수산물,어류
7864,각시돔,수산물,어류
7865,각시서대,수산물,어류
7866,각시서대,수산물,어류
7867,갈가자미,수산물,어류
7868,갈전갱이,수산물,어류
7869,갈전갱이,수산물,어류
7870,갈전갱이,수산물,어류
7871,갈치,수산물,어류
7872,갈치,수산물,어류
7873,갈치,수산물,어류
7874,갈치,수산물,어류
7875,갈치,수산물,어류
7876,감성돔,수산물,어류
7877,감성돔,수산물,어류
7878,감성돔,수산물,어류
7879,강담돔,수산물,어류
7880,강담돔-양식산,수산물,어류
7881,강도다리,수산물,어류
7882,강도다리,수산물,어류
7883,강도다리-알,수산물,어류
7884,강준치,수산물,어류
7885,개복치,수산물,어류
7886,개볼락,수산물,어류
7887,개볼락,수산물,어류
7888,개서대,수산물,어류
7889,갯장어,수산물,어류
7890,갯장어,수산물,어류
7891,갯장어,수산물,어류
7892,검복,수산물,어류
7893,검복,수산물,어류
7894,검복,수산물,어류
7895,게르치,수산물,어류
7896,게르치,수산물,어류
7897,게르치,수산물,어류
7898,고등어,수산물,어류
7899,고등어,수산물,어류
7900,고등어,수산물,어류
7901,고등어,수산물,어류
7902,고등어,수산물,어류
7903,고등어,수산물,어류
7904,고등어,수산물,어류
7905,고등어,수산물,어류
7906,고등어,수산물,어류
7907,고등어-대,수산물,어류
7908,고등어-보통육,수산물,어류
7909,고등어-세,수산물,어류
7910,고등어-소,수산물,어류
7911,고등어-중,수산물,어류
7912,고등어-혈합육,수산물,어류
7913,고려홍어,수산물,어류
7914,고려홍어,수산물,어류
7915,고무꺽정이,수산물,어류
7916,곱상어,수산물,어류
7917,광동홍어,수산물,어류
7918,광동홍어,수산물,어류
